predicted,sentiment,text
positive,negative, @vestihitech: лайфхак от билайн: как зарабатывать на собственный косяк  @spotresov: ай маладец пожалуй воздерживаться от коммент http 
negative,positive, @yablochno_com: iphone 5s и 5c зарабатывать в lte-сеть билайн у фас мочь возникать вопрос http://tco/cydufdhtmu 
positive,positive, @hapkotnkn: билайн включать lte для владелец новый iphone и ipad 
negative,positive,ура теперь зарабатывать#lte4g#beelinenanosimiphone на скорость #256кбит http://tco/azvnchjxhu 
negative,positive, @wylsacom: запуск 4g от билайн ознаменовываться один хороший событие: lte работать на iphone 5s a1533 тот который американский  давать д 
negative,positive,воу-воу не ожидать от #beeline http://tco/cu3k94d6l0 
negative,positive, @wylsacom: но в сила поддержка разный частота работать американский iphone 5s/5c быть только в мтс/билайн 
negative,negative,что-то я ни хрен с этот пчелайн не доганять %) 
positive,positive,билайн первый запускать мобильный связь в 150 поселок якутия  #компьютер  #новость 
positive,positive,lte билайн зарабатывать на iphone 5s/5c 
positive,negative, @sadieocasey: фас мочь оштрафовать вымпелком и apple из-за lte: смартфон iphone 5c и 5s первый из яблочный устройство по http://t 
negative,positive,все-таки постепенно контракт у мобильный оператор приходить в рф вот билайн предлагать iphone 5s за 25к с контракт на год интернет 
negative,negative,ебаный билайн 
negative,negative,приходиться сегодня опять идти разбираться в офис билайн 
negative,negative,фас мочь оштрафовать вымпелком и apple из-за lte #news 
negative,negative, @joduzamibyh: фас мочь оштрафовать вымпелком и apple из-за lte #news 
negative,positive, @maksimko009sifu: iphone 5s быть работать в lte-сеть билайн 
positive,positive, @plushev: на триумфальный lte билайн очень неплохой http://tco/ucyrjylwcb 
negative,negative,дорога и светлый любящий сердце билайн с неизменный ускорение катиться в  гавно два час назад запрашивать кредит тишина 
negative,negative,@myslobodin если бы не родственник который я же в свой время подсаживать на билайн уже давно бы сменить оператор спасибо за отмена моб раб 
negative,negative,@opernn )) ой ну только не сотовый оператор #билайн обязанный такой услуга давать в нагрузка с телефон это треш а не связь 
negative,negative,билайн - оборудование для домашний интернет из дешевый китайский дерьмо жить свой жизнь 
negative,negative,на подъезд к питер билайн выкидывать белый флаг (зачеркнуть) показывать gprs я уже и забывать что такой существовать 
negative,negative,в начало годаофициальный сайт @tina_kandelaki быть заблокировать оператор компания #beeline сколько же минус у этот оператор 
negative,positive,сотовый компания билайн запускать lte-сеть в диапазон band 20 работать даже американский модель iphone 5s и 5c а они значительно дешевый 
negative,negative, @hosoqyqykeb: билайн совсем ахренеть за кредит вводить платеж за быть в курс абонплата в жопа он 
negative,negative,ну вот что за алчный тварь вытаскивать билайновский симка снова вставлять - немедленно полезть платный спам через тн хамелеон поубивать бы 
negative,negative,@beeline_rus что за блядский трафик скорость он рано не быть только с ноябрь такой смс пойти http://tco/chq4zliblx 
negative,negative,когда провайдер всячески улучшать тариф местный билайн вводить ограничение по траффика уход с артелеком переноситься 
negative,negative,сюда тоже надо запостить :) мтс билайн и мегафон оштрафовать: 
positive,negative,http://tco/szt96iltms билайн отключать услуга домашний регион 
negative,positive,но в сила поддержка разный частота работать американский iphone 5s/5c быть только в мтс/билайн 
positive,negative,на айпад нет интернет билайн залочить сука после халява ( 
negative,negative, @dashka09d: @mvg_2000 билайн уже не тот)) 
negative,negative,уже второй день сеть на билайн не ловить :с 
positive,negative,новый акция от билайн – подключаться к мтс и мы сломать ты нога #follow 
negative,positive,вчера позвонить из билайн предлагать 25 мегабит анлим за 200 рубль в месяц с бесплатный подключение кто-нибудь в 
negative,negative,прошивка не проходить модем живой и мертвый как кот шредингер польза ноль интересно на билайн в суд можно подавать за продажа 
negative,negative, @hedozizicet: ппц: сидеть сдавать аварийный заявка в билайн и слышать в бэкграунд оператор обсуждать копрофилия :) 
